~| 2024-09-05 05:25:27 ~| 10 ~| ~| 1984 ~| 조지 오웰 지음 / 정회성 옮김 ~| 민음사 ~| 2003-06-16 ~| ccd28a3115ca4557 ~|
2024-02-06 15:00:05 ~| 2024-02-06 14:59:28 ~| 20 ~| 6 ~| 직장인 세테크의 기술 ~| 최용규 ~| 다온북스 ~| 2023-03-27 ~| 4988d64364ff4fcd ~|
2024-02-06 14:59:56 ~| 2024-02-06 14:59:51 ~| 20 ~| 0 ~| 직장인 세테크의 기술 ~| 최용규 ~| 다온북스 ~| 2023-03-27 ~| 0a5c1602831f4345 ~|
2024-02-02 21:03:53 ~| 2024-01-31 21:24:58 ~| 30 ~| 100 ~| 나는 블로그로 월급보다 많이 번다 ~| 정태영(짜루) ~| 경이로움 ~| 2023-05-17 ~| 8c72a230de224d50 ~|
2024-01-28 17:30:38 ~| 2024-01-15 19:19:40 ~| 20 ~| 14 ~| 나는 메트로폴리탄 미술관의 경비원입니다 ~| 패트릭 브링리 ~| 웅진지식하우스 ~| 2023-11-24 ~| bbedd3972f284f8b ~|
2024-01-20 17:16:21 ~| 2023-11-19 03:12:13 ~| 20 ~| 3 ~| 이제 이혼합니다 ~| 가키야 미우 지음 / 김윤경 옮김 ~| 문예춘추사 ~| 2023-11-30 ~| e042970086b34a4a ~|
2024-01-15 21:37:04 ~| 2022-11-13 20:41:59 ~| 20 ~| 52 ~| 아이 없는 부부와 고양이 ~| 무레 요코 / 이소담 ~| 알에이치코리아(RHK) ~| 2022-09-27 ~| 541d5a51e7d441dd ~|
2024-01-11 23:15:10 ~| 2024-01-09 22:06:55 ~| 20 ~| 3 ~| 수상한 이발소 ~| 야마모토 코우시 ~| 리프 ~| 2023-11-22 ~| 79f61b3f33b7421a ~|
2024-01-09 09:13:29 ~| 2024-01-06 22:14:39 ~| 20 ~| 35 ~| 아무것도 하기 싫은 사람을 위한 뇌 과학 ~| 가토토시노리 지음, 정현옥 옮김 ~| 갤리온 ~| 2021-06-04 ~| 5c5427d37be04d5a ~|
2023-12-30 18:45:11 ~| 2022-11-06 01:50:19 ~| 20 ~| 7 ~| 짐승의 성 ~| 혼다테쓰야 지음, 김윤수 옮김 ~| 북로드 ~| 2016-12-02 ~| dd5ea97e9e7f40ca ~|
2023-12-30 18:44:00 ~| 2022-11-06 01:26:34 ~| 20 ~| 2 ~| 용서받지 못한 밤 ~| 미치오 슈스케 | 김은모 ~| 놀 ~| 2022-03-17 ~| 0b54cae7f89a4ae3 ~|
2023-12-30 15:22:19 ~| 2023-12-15 11:57:44 ~| 20 ~| 0 ~| 철서의 우리 上 ~| 교고쿠나츠히코 지음, 김소연 옮김 ~| 손안의책 ~| 2010-06-15 ~| 5ae5f86c38d34cea ~|
2023-12-30 15:20:11 ~| 2023-09-30 06:14:23 ~| 20 ~| 6 ~| 파국 ~| 도노하루카 지음, 김지영 옮김 ~| 시월이일 ~| 2020-11-18 ~| 861c475396e84d5b ~|
2023-12-25 20:49:25 ~| 2023-10-02 21:21:14 ~| 20 ~| 13 ~| 메리골드 마음 세탁소 ~| 윤정은 ~| 북로망스 ~| 2023-03-06 ~| 9af58c71ad0d45e8 ~| audio
2023-12-24 18:14:44 ~| 2023-09-30 06:22:06 ~| 20 ~| 3 ~| 우아하고 감상적인 일본 야구 ~| 다카하시겐이치로 지음, 박혜성 옮김 ~| 웅진지식하우스 ~| 2017-11-20 ~| 267cdcc996a84eed ~|
2023-11-19 02:57:41 ~| 2023-09-08 01:24:17 ~| 30 ~| 99 ~| 나의 마지막 엄마 ~| 아사다 지로 지음 / 이선희 옮김 ~| 다산책방 ~| 2023-03-16 ~| c534de0c85624ae4 ~|
2023-11-02 23:40:43 ~| 2023-10-24 23:19:07 ~| 20 ~| 2 ~| 화이트 러시 ~| 히가시노 게이고 지음 / 민경욱 옮김 ~| 소미미디어 ~| 2023-01-18 ~| 2dce7001ed064556 ~|
2023-11-01 14:06:45 ~| 2023-05-10 23:20:11 ~| 20 ~| 67 ~| 디즈니만이 하는 것 The Ride of a Lifetime ~| 로버트아이거 지음, 안진환 옮김 ~| 쌤앤파커스 ~| 2020-05-04 ~| 1c45fbc5d4c84acd ~|
2023-10-11 02:04:18 ~| 2023-10-07 22:36:33 ~| 20 ~| 5 ~| 일론 머스크 ~| 월터 아이작슨 지음 / 안진환 옮김 ~| 21세기북스 ~| 2023-09-13 ~| d83fc2efe00d4fa5 ~|
2023-10-07 16:48:14 ~| 2023-10-06 03:08:02 ~| 20 ~| 33 ~| 3부작 ~| 욘 포세 ~| 새움 ~| 2019-10-04 ~| 959577125e644370 ~|
2023-09-30 05:00:07 ~| 2022-11-06 01:48:09 ~| 30 ~| 99 ~| 작열 ~| 아키요시리카코 지음, 김현화 옮김 ~| 마시멜로 ~| 2020-11-20 ~| 7bb02f7de6bc45da ~|
2023-09-09 17:24:54 ~| 2023-09-02 14:10:48 ~| 20 ~| 2 ~| 벌거벗은 통계학 ~| 찰스 윌런 지음 / 김명철 옮김 ~| 책읽는수요일 ~| 2013-10-25 ~| 8bbc2d5f23584b13 ~|
2023-09-04 23:14:22 ~| 2023-09-02 08:36:29 ~| 20 ~| 7 ~| 목욕탕 도감 ~| 엔야 호나미 지음 / 네티즌 나인 옮김 ~| 수오서재 ~| 2023-08-06 ~| 21e3477845e14424 ~|
2023-09-02 08:35:53 ~| 2023-08-15 22:34:00 ~| 30 ~| 99 ~| 흔적을 지워드립니다 ~| 마에카와 호마레 / 이수은 ~| 라곰 ~| 2022-10-24 ~| 84281202e43c4ed5 ~|
2023-08-19 08:59:59 ~| 2023-03-02 02:37:28 ~| 20 ~| 71 ~| 열외인종 잔혹사 ~| 주원규 지음 ~| 한겨레출판 ~| 2009-07-16 ~| d412bdd4333141d8 ~|
2023-08-15 14:52:58 ~| 2023-08-06 22:57:18 ~| 20 ~| 4 ~| 헤르만 헤세의 책이라는 세계 ~| 헤르만 헤세 지음 / 김지선 옮김 ~| 뜨인돌 ~| 2022-05-06 ~| 31d0e9f712154881 ~|
2023-08-14 23:54:12 ~| 2023-08-14 04:46:21 ~| 20 ~| 42 ~| 짱뚱이의 나의 살던 고향은 1 ~| 오진희 글 / 신영식 그림 ~| 파랑새 ~| 2008-07-08 ~| 770b17a837f947b1 ~|
2023-08-14 16:18:40 ~| 2023-08-11 23:34:30 ~| 20 ~| 88 ~| 에픽 #03 ~| 차경희, 박소현, 서효인, 송기역, 이랑, 금정연, 오은교, 최지혜, 김지연, 이두온, 이장욱, 장류진, 황모과, 의외의사실 (지은이) ~| 다산북스 ~| 2021-04-01 ~| 28597de08d1541cb ~|
2023-08-14 16:15:10 ~| 2023-08-10 22:49:52 ~| 20 ~| 83 ~| 30일 5분 달리기 ~| 김성우 지음 ~| 에이치비프레스 ~| 2021-09-15 ~| b616732f25d94e61 ~|
2023-08-10 22:47:50 ~| 2023-05-15 15:35:10 ~| 20 ~| 10 ~| 여름 ~| 알베르 까뮈 / 박해현 ~| 휴머니스트 ~| 2022-10-17 ~| c69fff0f48da44e4 ~|
2023-08-10 22:40:26 ~| 2023-07-29 00:09:30 ~| 20 ~| 24 ~| 기차와 생맥주 ~| 최민석 ~| 북스톤 ~| 2022-07-20 ~| d9568b40a9de48d6 ~|
2023-08-10 22:38:16 ~| 2023-08-10 22:38:13 ~| 30 ~| 100 ~| 마드리드 일기 1화 ~| 최민석 ~| 밀리의 서재 ~| ~| ef5d4afe335e486e ~|
2023-08-10 22:37:16 ~| 2023-08-10 22:37:13 ~| 20 ~| 3 ~| 꽈배기의 맛 ~| 최민석 지음 ~| 북스톤 ~| 2017-10-28 ~| 369c9e40dc2541c8 ~|
2023-08-08 22:49:19 ~| 2023-07-29 00:08:48 ~| 30 ~| 99 ~| 그럴 수 있어 ~| 양희은 ~| 웅진지식하우스 ~| 2023-07-04 ~| 4b25ddb62e294fee ~|
2023-07-30 23:41:05 ~| 2023-07-17 00:40:54 ~| 30 ~| 100 ~| 모래알만 한 진실이라도 ~| 박완서 지음 ~| 세계사 ~| 2020-12-07 ~| 4752f9de8f3e412e ~|
2023-07-18 00:23:20 ~| 2023-07-17 17:18:05 ~| 20 ~| 21 ~| 실리콘밸리의 팀장들 ~| 킴 스콧(지음), 박세연(옮김) ~| 청림출판사 ~| 2019-06-28 ~| d923c467199e40c1 ~|
2023-07-11 23:38:29 ~| 2023-06-05 22:55:03 ~| 20 ~| 15 ~| 그래스호퍼 ~| 이사카고타로 지음, 오유리 옮김 ~| 알에이치코리아(RHK) ~| 2019-07-29 ~| 0dc7cea474ab4c2b ~|
2023-06-28 22:31:14 ~| 2023-06-27 14:16:12 ~| 20 ~| 0 ~| 전국김밥일주 ~| 정다현(김밥큐레이터) ~| 가디언 ~| 2023-04-25 ~| d5fe72b08ab24165 ~|
2023-06-21 21:53:35 ~| 2023-06-21 21:52:52 ~| 20 ~| 1 ~| 니체와 함께 산책을 ~| 시라토리 하루히코 ~| 다산초당 ~| 2021-09-27 ~| 50f279b4bf574100 ~| audio
2023-06-21 20:43:36 ~| 2023-06-20 10:44:10 ~| 20 ~| 0 ~| 新버전 일본어 한자암기박사 (읽으면 저절로 외워지는 기적의 암기공식) ~| 박원길,박정서 지음 ~| 시대고시기획 ~| 2016-08-10 ~| c259fd10e893463d ~|
2023-06-20 10:42:21 ~| 2023-06-20 10:24:25 ~| 20 ~| 0 ~| 영어회화 100일의 기적 개정판(MP3 재생 버전) ~| 문성현 ~| 넥서스 ~| 2022-09-05 ~| a067bb53a76a452d ~|
2023-06-17 17:07:55 ~| 2023-06-17 17:07:52 ~| 30 ~| 99 ~| 의욕 따위 필요 없는 100가지 레시피 ~| 하라페코그리즐리 지음, 수키 옮김 ~| 클 ~| 2021-03-31 ~| 5e0fe0f73e844ddb ~|
2023-06-17 02:28:25 ~| 2023-06-16 10:42:55 ~| 20 ~| 98 ~| 우리는 왜 임영웅을 사랑하는가 ~| 조위 ~| 한스미디어 ~| 2023-04-04 ~| e47a963a419e446e ~|
2023-06-15 23:22:02 ~| 2023-06-15 23:19:25 ~| 20 ~| 1 ~| 하루 5분, 뇌력 낭비 없애는 루틴 ~| 가바사와시온 지음, 신찬 옮김 ~| 매일경제신문사 ~| 2020-04-20 ~| a09b5a5a66204afc ~|
2023-05-20 14:59:33 ~| 2023-05-15 15:36:28 ~| 20 ~| 6 ~| AI 이후의 세계 ~| 헨리 A. 키신저, 에릭 슈밋, 대니얼 허튼로커 지음 / 김고명 옮김 ~| 윌북 ~| 2023-05-22 ~| 4db2136228b84150 ~|
2023-05-16 18:11:41 ~| 2023-04-17 19:49:37 ~| 20 ~| 78 ~| 다정한 것이 살아남는다 ~| 브라이언헤어,버네사우즈 / 이민아 ~| 디플롯 ~| 2021-07-26 ~| ecf73f0c84fa4e38 ~|
2023-05-15 15:40:28 ~| 2023-05-15 15:37:11 ~| 20 ~| 1 ~| 작별 인사 ~| 김영하 ~| 복복서가 ~| 2022-05-02 ~| 2fd037a3493b4461 ~|
2023-05-13 06:01:52 ~| 2023-05-07 00:03:21 ~| 20 ~| 62 ~| 아무튼, 하루키 ~| 이지수 지음 ~| 제철소 ~| 2020-01-31 ~| 9bd2b73477774c02 ~|
2023-05-10 15:14:18 ~| 2023-04-22 01:29:48 ~| 20 ~| 73 ~| 뇌는 달리고 싶다 ~| 안데르스한센 지음, 김성훈 옮김 ~| 반니 ~| 2019-12-10 ~| 978e27e9c0a44867 ~|
2023-05-01 15:13:16 ~| 2023-04-29 15:08:03 ~| 20 ~| 3 ~| 눈 감으면 보이는 것들 ~| 신순규 ~| 판미동 ~| ~| a73fa27105364acd ~| audio
2023-04-29 17:00:10 ~| 2023-02-22 18:30:33 ~| 20 ~| 13 ~| 그림자 밟기 ~| 요코야마히데오 지음, 최고은 옮김 ~| 검은숲 ~| 2015-03-10 ~| 8c9976a9c0244ed5 ~|
2023-04-24 03:07:05 ~| 2023-02-27 04:20:15 ~| 20 ~| 6 ~| 우리는 왜 잠을 자야 할까 ~| 매슈워커 지음, 이한음 옮김 ~| 사람의집 ~| 2019-02-25 ~| 3ab8524eddd54823 ~|
2023-04-22 15:19:57 ~| 2023-04-22 15:19:11 ~| 20 ~| 6 ~| 홋카이도 홀리데이 (2019-2020 개정판) ~| 인페인터글로벌 지음 ~| 꿈의지도 ~| 2019-01-11 ~| 24f29a40320e4290 ~|
2023-04-22 15:18:35 ~| 2023-04-22 15:16:13 ~| 20 ~| 12 ~| 일하면서 떠나는 해외여행 : 홋카이도 ~| 안선희, 정태관, 김태경 ~| 넥서스BOOKS ~| ~| c59598414cdf4ab8 ~|
2023-04-17 19:49:20 ~| 2023-04-12 09:40:17 ~| 20 ~| 8 ~| 21세기 지식경영 ~| 피터 드러커 (지은이), 이재규 (옮긴이) ~| 한국경제신문 ~| 2002-10-23 ~| 173e1189f9404d5c ~|
2023-04-17 16:38:46 ~| 2023-04-03 10:54:49 ~| 20 ~| 45 ~| 회복탄력성 ~| 김주환 지음 ~| 위즈덤하우스 ~| 2019-03-29 ~| 694c1877f5f24630 ~|
2023-04-12 14:37:27 ~| 2023-03-28 13:09:13 ~| 20 ~| 66 ~| 150년 하버드 글쓰기 비법(개정증보판) ~| 송숙희 ~| 유노북스 ~| 2022-03-14 ~| 059b1c77243b4b26 ~|
2023-04-11 07:59:18 ~| 2023-02-27 13:06:08 ~| 20 ~| 10 ~| 수학보다 데이터 문해력 ~| 정성규 ~| EBS BOOKS ~| 2022-11-15 ~| 1fd8a92402924636 ~|
2023-04-10 23:58:36 ~| 2023-04-10 20:21:06 ~| 20 ~| 4 ~| 피터 드러커 자기경영노트 ~| 피터 드러커 지음 / 장영철 옮김 ~| 한국경제신문 ~| 2024-05-30 ~| 1b8fd7dd591d49fb ~|
2023-04-04 09:46:46 ~| 2023-03-22 15:49:22 ~| 20 ~| 39 ~| 당신의 1분은 얼마인가 ~| 무란/ 송은진 ~| 와이즈맵 ~| 2021-11-30 ~| dc404faf980f436d ~|
2023-04-03 22:40:58 ~| 2023-04-03 10:53:06 ~| 20 ~| 15 ~| 챗GPT시대 글쓰기 ~| 이세훈 ~| 매일경제신문사 ~| 2023-02-28 ~| 82745f170db048cb ~|
2023-03-31 09:09:58 ~| 2023-03-24 19:00:13 ~| 20 ~| 95 ~| 하버드 인생학 특강 ~| 클레이튼M.크리스텐슨,제임스올워스,캐런딜론 지음, 이진원 옮김 ~| 알에이치코리아(RHK) ~| 2020-02-21 ~| b4d961f06d4a4365 ~|
2023-03-30 14:29:55 ~| 2023-03-22 18:07:48 ~| 20 ~| 2 ~| 당신의 뇌는 최적화를 원한다 ~| 가바사와시온 지음, 오시연 옮김 ~| 쌤앤파커스 ~| 2018-05-25 ~| fa33b2f5a5aa46ee ~|
2023-03-30 12:05:15 ~| 2023-02-27 05:36:47 ~| 20 ~| 11 ~| 왜 우리는 술에 빠지는 걸까 ~| 하종은 지음 ~| 소울메이트 ~| 2014-10-20 ~| 508caaf62cb646f6 ~|
2023-03-29 11:26:12 ~| 2023-03-22 18:07:53 ~| 20 ~| 18 ~| 당신의 뇌는 최적화를 원한다 ~| 가바사와시온 지음, 오시연 옮김 ~| 쌤앤파커스 ~| 2018-05-25 ~| 1c1cb20c4b7140bd ~|
2023-03-27 18:49:15 ~| 2023-03-26 17:24:29 ~| 20 ~| 72 ~| 책 먹는 법 ~| 김이경 지음 ~| 유유 ~| 2015-08-15 ~| 536a5d73fed74381 ~| audio
2023-03-26 17:23:41 ~| 2023-03-22 19:33:03 ~| 20 ~| 12 ~| 왜 일하는가 ~| 이나모리 가즈오 (지은이), 김윤경 (옮긴이) ~| 다산북스 ~| 2021-04-12 ~| 551b22fd516d42ec ~| audio
2023-03-24 18:22:11 ~| 2023-03-03 00:01:05 ~| 20 ~| 8 ~| 운동의 역설 ~| 허먼 폰처 ~| 동녘사이언스 ~| 2022-07-15 ~| caf838abcf3345ba ~|
2023-03-23 11:07:19 ~| 2023-03-19 17:41:05 ~| 20 ~| 0 ~| 작은 아씨들 ~| 루이자 메이 올컷 ~| 투나미스 ~| ~| fc4d20c86a504c6e ~|
2023-03-23 11:06:50 ~| 2023-03-20 16:50:38 ~| 20 ~| 0 ~| 작은 아씨들 ~| 루이자 메이 올콧 ~| 계몽사 ~| ~| f10538ed6c20497b ~| audio
2023-03-22 18:09:05 ~| 2023-03-22 18:09:02 ~| 20 ~| 9 ~| 왜 일하는가 ~| 이나모리가즈오 지음, 김윤경 옮김 ~| 다산북스 ~| 2021-04-12 ~| bede02904b4a418c ~|
2023-03-22 01:23:54 ~| 2023-03-01 22:28:45 ~| 20 ~| 17 ~| 책 먹는 법 ~| 김이경 지음 ~| 유유 ~| 2015-08-15 ~| f348133edaa14bde ~|
2023-03-21 18:22:23 ~| 2023-02-28 14:30:08 ~| 20 ~| 52 ~| 이토록 멋진 휴식 ~| 존피치, 맥스프렌젤 지음, 손현선 옮김 ~| 현대지성 ~| 2021-07-08 ~| d4319c20690e4a56 ~|
2023-03-21 18:17:54 ~| 2023-02-16 11:30:17 ~| 20 ~| 11 ~| 어떻게 원하는 것을 얻는가 (밀리언 특별판) ~| 스튜어트다이아몬드 ~| 세계사 ~| 2022-06-13 ~| 6bd03c431505486e ~|
2023-03-20 10:35:27 ~| 2023-02-28 19:15:13 ~| 20 ~| 36 ~| 어린 왕자 ~| 앙투안 드 생텍쥐페리 (지은이) ~| 바로이북 ~| ~| caeb9e47a21748f5 ~| audio
2023-03-20 10:35:18 ~| 2023-02-28 17:18:59 ~| 30 ~| 100 ~| 데미안 ~| 헤르만헤세 ~| 스토리해윰 ~| ~| d5c96f9eeb0d4264 ~| audio
2023-03-19 17:58:19 ~| 2023-03-19 17:48:45 ~| 20 ~| 0 ~| 위대한 유산_영어 원서로 보는 고전소설 ~| 찰스 디킨스 ~| 달꽃 ~| ~| ec8f03cc2d054a0e ~|
2023-03-19 01:33:02 ~| 2023-02-24 15:30:56 ~| 20 ~| 86 ~| 어느 애주가의 고백 ~| 다니엘슈라이버 지음, 이덕임 옮김 ~| 스노우폭스북스 ~| 2018-03-16 ~| aa469958b80b4e8e ~|
2023-03-07 23:51:37 ~| 2023-02-22 18:33:04 ~| 20 ~| 1 ~| 부모와 다른 아이들 1 ~| 앤드루솔로몬 지음, 고기탁 옮김 ~| 열린책들 ~| 2015-01-02 ~| 24b3e111b6174c5c ~|
2023-03-05 03:37:55 ~| 2023-02-22 18:32:19 ~| 30 ~| 100 ~| 교도관의 눈 ~| 요코야마 히데오 지음 / 허하나 옮김 ~| 폭스코너 ~| 2022-07-01 ~| f31c7732fb9147ba ~|
2023-03-04 00:46:12 ~| 2023-02-27 04:27:00 ~| 20 ~| 21 ~| 내가 왜 계속 살아야 합니까 ~| 윌듀런트 지음, 신소희 옮김 ~| 유유 ~| 2020-01-14 ~| d5554c1859ea4a93 ~|
2023-03-02 11:30:02 ~| 2023-03-01 19:04:41 ~| 20 ~| 18 ~| 젊은 베르테르의 슬픔 ~| 요한볼프강폰괴테 지음, 송영택 옮김 ~| 문예출판사 ~| 2004-09-10 ~| c81779e599804644 ~| audio
2023-03-02 11:26:39 ~| 2023-03-02 11:26:14 ~| 20 ~| 22 ~| 젊은 베르테르의 슬픔 ~| 요한볼프강폰괴테 지음, 송영택 옮김 ~| 문예출판사 ~| 2004-09-10 ~| cd8342d2c2224172 ~|
2023-03-01 08:16:55 ~| 2023-03-01 08:11:52 ~| 20 ~| 0 ~| 처음 읽는 맛의 세계사 ~| 미야자키 마사카츠 / 오정화 ~| 탐나는책 ~| 2022-05-23 ~| 166d9ec1c3304af6 ~| audio
2023-03-01 08:10:56 ~| 2023-02-28 16:53:39 ~| 30 ~| 100 ~| 초여름 ~| 저 마키노 신이치 / 역 최수민, 최선영 ~| 새벽고양이 ~| 2018-05-30 ~| e449ca7fe3a24c2b ~| audio
2023-02-28 17:16:55 ~| 2023-02-28 17:14:55 ~| 20 ~| 1 ~| 꽃잎을 적신 이슬을 모아 ~| 강원석 ~| 주식회사 비크엔터테인먼트 ~| ~| 3b957e810d924816 ~| audio
2023-02-27 22:50:28 ~| 2023-02-27 22:50:26 ~| 20 ~| 5 ~| 하루키, 고양이는 운명이다 ~| 스즈무라가즈나리 지음, 김아름 옮김 ~| 살림 ~| 2017-07-24 ~| 910349aeb8d34927 ~|
2023-02-26 00:26:45 ~| 2023-02-19 23:42:57 ~| 20 ~| 20 ~| 고양이 손님 ~| 히라이데다카시 지음, 양윤옥 옮김 ~| 박하 ~| 2018-12-12 ~| e043bee501324049 ~|
2023-02-21 09:16:25 ~| 2023-02-21 03:58:00 ~| 20 ~| 4 ~| 사람을 얻는 지혜 ~| 발타자르 그라시안/김유경 ~| 현대지성 ~| 2022-10-28 ~| bb6fafcccd1543cb ~|
2023-02-21 04:00:53 ~| 2023-02-21 03:59:07 ~| 20 ~| 6 ~| 이어령의 마지막 수업 ~| 김지수, 이어령 ~| 열림원 ~| 2021-10-28 ~| 043f937ff1f246d5 ~|
2023-02-20 18:42:05 ~| 2023-02-08 01:26:12 ~| 20 ~| 7 ~| 낯선 사람에게 말 걸기 ~| 폴 오스터 / 김석희,민승남,이종인,황보석 ~| 열린책들 ~| 2022-04-10 ~| 70858be408ae4791 ~|
2023-02-20 17:25:55 ~| 2023-02-20 17:25:54 ~| 20 ~| 33 ~| 챗GPT와 함께 하는 인공지능 이야기 ~| 이임복 ~| 인터렉티브북스 ~| ~| 0847f1feb403436a ~|
2023-02-17 00:42:40 ~| 2023-02-08 01:24:57 ~| 20 ~| 2 ~| 서울을 팔고 도쿄를 샀습니다 ~| 백승 ~| 알에이치코리아(RHK) ~| 2023-01-16 ~| 289c4d7777784773 ~|
2023-02-17 00:28:05 ~| 2023-02-07 01:04:46 ~| 30 ~| 99 ~| 아침이 온다 ~| 츠지무라미즈키 지음, 이정민 옮김 ~| 몽실북스 ~| 2018-09-27 ~| 8ceb3688989941d9 ~|
2023-02-10 01:28:22 ~| 2023-02-09 03:09:59 ~| 20 ~| 2 ~| 미중전쟁의 승자, 누가 세계를 지배할 것인가? : 미국편 ~| 최병일 지음 ~| 책들의정원 ~| 2019-05-15 ~| 81897b38a29149e3 ~|
2023-02-08 01:05:04 ~| 2022-11-25 17:10:20 ~| 20 ~| 87 ~| 요철 ~| 사쿠라 마나 ~| 냉수 ~| 2018-08-20 ~| 7b4d732c1d1b437d ~|
2023-02-07 01:02:55 ~| 2023-01-26 00:41:26 ~| 20 ~| 47 ~| 애쓰지 않아도 ~| 최은영/김세희 ~| 마음산책 ~| 2022-04-30 ~| 83223842fd2d465e ~|
2023-01-25 19:46:04 ~| 2023-01-23 15:27:54 ~| 20 ~| 29 ~| 더미를 위한 와인 푸드 페어링 ~| 존사보 지음, 조윤경 옮김 ~| 시그마북스 ~| 2018-05-10 ~| ad9ea5ec70044ea7 ~|
2023-01-24 16:55:37 ~| 2022-11-20 16:28:15 ~| 20 ~| 31 ~| 리얼 오사카 - 교토·고베·나라 ~| 황성민,정현미 지음 ~| 한빛라이프 ~| 2019-12-27 ~| d1aea6ea25b749ae ~|
2023-01-23 22:31:49 ~| 2023-01-23 22:31:47 ~| 20 ~| 2 ~| 숙명 ~| 히가시노게이고 지음, 권남희 옮김 ~| ㈜소미미디어 ~| 2020-05-29 ~| 35b7492d3f934764 ~|
2023-01-23 22:31:11 ~| 2023-01-23 15:25:09 ~| 20 ~| 6 ~| 와인 콘서트 ~| 김관웅 ~| 더좋은책 ~| 2022-05-10 ~| 9e8aa4d1d1bb4660 ~|
2023-01-23 17:17:39 ~| 2023-01-23 17:17:35 ~| 30 ~| 100 ~| 와인 심플 ~| 알도솜,크리스틴뮬크 지음, 김일민 옮김 ~| 시그마북스 ~| 2020-09-04 ~| b3e84983e748488c ~|
2023-01-23 15:23:43 ~| 2023-01-23 01:53:45 ~| 20 ~| 2 ~| 달리기의 모든 것 ~| 남혁우 ~| 매일경제신문사 ~| 2022-03-15 ~| fe0c72be589840b3 ~|
2023-01-19 08:17:37 ~| 2023-01-19 00:35:31 ~| 20 ~| 5 ~| 너무 한낮의 연애 ~| 김금희 지음 ~| 문학동네 ~| 2016-05-31 ~| 81d7c9c7b9c24c24 ~|
2023-01-07 21:14:36 ~| 2023-01-07 21:14:10 ~| 20 ~| 2 ~| 서 있는 여자 ~| 박완서 ~| 세계사 ~| 2012-01-22 ~| 2a03aabf028b4f4f ~|
2023-01-06 19:54:54 ~| 2022-11-20 16:26:55 ~| 20 ~| 21 ~| 내일은 홋카이도 : 삿포로, 오타루, 하코다테, 비에이 ~| 온 더 로드 ~| 착한책방 ~| 2019-06-10 ~| ed1a291d87e247bb ~|
2023-01-06 19:51:49 ~| 2023-01-06 19:51:43 ~| 20 ~| 2 ~| 느긋하게 홋카이도 ~| 남자휴식위원회 지음, 홍민경 옮김 ~| 생각정거장 ~| 2018-08-30 ~| 2d2657487a1b4de5 ~|
2023-01-05 14:35:32 ~| 2022-12-28 19:32:38 ~| 20 ~| 24 ~| AI 시대, 문과생은 이렇게 일합니다 ~| 노구치류지 지음, 전종훈 옮김 ~| 시그마북스 ~| 2020-08-10 ~| 33b83f20fa824bca ~|
2023-01-02 17:42:26 ~| 2022-11-06 02:19:56 ~| 20 ~| 96 ~| 둘이서 살아간다는 것 ~| 사쿠라기시노 지음, 이정민 옮김 ~| 몽실북스 ~| 2021-01-04 ~| 72ef6c8d6baf4903 ~|
2022-12-30 10:46:17 ~| 2022-11-06 01:31:23 ~| 30 ~| 100 ~| 불편한 편의점 2 ~| 김호연 ~| 나무옆의자 ~| 2022-08-10 ~| 1622455ca6734bcf ~|
2022-12-29 10:41:34 ~| 2022-12-29 10:41:23 ~| 20 ~| 50 ~| 수상한 초콜릿 가게 1화 ~| 김예은 ~| 밀리의 서재 ~| ~| 47b4152d4c6246bf ~|
2022-12-28 19:33:58 ~| 2022-12-28 19:33:56 ~| 20 ~| 5 ~| AI 최강의 수업 ~| 김진형 지음 ~| 매일경제신문사 ~| 2020-11-20 ~| 66385979606a4941 ~|
2022-12-28 19:32:12 ~| 2022-12-28 19:32:09 ~| 20 ~| 3 ~| 비전공자도 이해할 수 있는 AI 지식 ~| 박상길 / 정진호(그림) ~| 반니 ~| 2022-03-04 ~| 25f03dd4e04e4f69 ~|
2022-12-28 17:06:02 ~| 2022-12-28 15:10:12 ~| 20 ~| 4 ~| 진이, 지니 ~| 정유정 ~| 은행나무 ~| ~| 052792393e92416f ~| audio
2022-12-28 15:08:43 ~| 2022-12-27 12:32:45 ~| 20 ~| 23 ~| 환상서점 ~| 소서림(스토리플러스) 지음 ~| ㈜투유드림 ~| 2023-02-28 ~| 20ea5afa070c4dfc ~| audio
2022-12-27 11:06:13 ~| 2022-12-22 22:29:52 ~| 30 ~| 100 ~| 불편한 편의점 2 ~| 김호연 ~| 나무옆의자 ~| 2022-08-10 ~| e913e2b1e55d49fa ~| audio
2022-12-23 13:39:03 ~| 2022-12-22 15:11:13 ~| 20 ~| 40 ~| 최강의 해독법 ~| 마키타 젠지 / 박유미 ~| korea.com ~| 2021-10-15 ~| f7bf065912314368 ~|
2022-12-23 08:35:30 ~| 2022-12-22 13:31:26 ~| 20 ~| 33 ~| 식사가 잘못됐습니다 2 : 실천편 ~| 마키타 젠지 지음 / 문혜원 옮김 / 강재헌 감수 ~| 더난출판 ~| 2020-12-24 ~| 7cd5448b00374bbd ~|
2022-12-23 08:34:39 ~| 2022-12-20 00:16:26 ~| 20 ~| 42 ~| 식사가 잘못됐습니다 ~| 마키타젠지 지음, 전선영 옮김 ~| 더난출판사 ~| 2018-09-19 ~| 84c5b792527245f9 ~|
